GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSMUSG00000067818,ENSMUST00000088552,172,1.0,start/2_0/2_1/1_0/3_0/stop,90.0,69.23076923076923,0.75,450.0,415.3846153846154,4.2,90.0,83.07692307692308,0.8400000000000001,8
ENSG00000101335,ENST00000279022,172,1.0,start/2_0/2_1/1_0/3_0/stop,90.0,69.23076923076923,0.75,450.0,415.3846153846154,4.2,90.0,83.07692307692308,0.8400000000000001,8
ENSBTAG00000011473,ENSBTAT00000015248/ENSBTAT00000068920,172,,start/2_0/2_1/1_0/3_0/stop,90.0,69.23076923076923,0.75,450.0,415.3846153846154,4.2,90.0,83.07692307692308,0.8400000000000001,8
ENSGGOG00000024477,ENSGGOT00000030004,172,,start/2_0/2_1/1_0/3_0/stop,90.0,69.23076923076923,0.75,450.0,415.3846153846154,4.2,90.0,83.07692307692308,0.8400000000000001,8
ENSMMUG00000059897,ENSMMUT00000023094,172,,start/2_0/2_1/1_0/3_0/stop,90.0,69.23076923076923,0.75,450.0,415.3846153846154,4.2,90.0,83.07692307692308,0.8400000000000001,8
ENSRNOG00000020246,ENSRNOT00000027445,172,,start/2_0/2_1/1_0/3_0/stop,90.0,69.23076923076923,0.75,450.0,415.3846153846154,4.2,90.0,83.07692307692308,0.8400000000000001,8
ENSSSCG00000036402,ENSSSCT00000038183,172,,start/2_0/2_1/1_0/3_0/stop,90.0,69.23076923076923,0.75,450.0,415.3846153846154,4.2,90.0,83.07692307692308,0.8400000000000001,8
ENSXETG00000002646,ENSXETT00000007781,172,,start/2_0/2_1/1_0/3_0/stop,90.0,69.23076923076923,0.75,450.0,415.3846153846154,4.2,90.0,83.07692307692308,0.8400000000000001,8
ENSG00000101335,ENST00000346786,118,1.0,start/2_0/2_1/3_0/stop,20.0,15.384615384615385,0.1,290.0,284.6153846153846,2.75,72.5,71.15384615384615,0.6875,2
ENSGGOG00000024477,ENSGGOT00000049150,118,,start/2_0/2_1/3_0/stop,20.0,15.384615384615385,0.1,290.0,284.6153846153846,2.75,72.5,71.15384615384615,0.6875,2
ENSOANG00000004944,ENSOANT00000007840,193,,start/5_0/2_0/2_1/1_0/3_0/stop,10.0,7.6923076923076925,0.1,380.0,338.46153846153845,3.5,63.333333333333336,56.41025641025641,0.5833333333333334,1
WBGene00003372,C56G7.1.1,172,,start/2_0/1_0/4_0/stop,10.0,7.6923076923076925,0.1,120.0,115.38461538461539,1.2000000000000002,30.0,28.846153846153847,0.30000000000000004,1
ENSSSCG00000036402,ENSSSCT00000075424,176,,start/2_0/6_0/1_0/3_0/stop,10.0,7.6923076923076925,0.05,290.0,276.92307692307696,2.7,58.0,55.384615384615394,0.54,1
