GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSOANG00000010074,ENSOANT00000015971,530,,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSG00000000938,ENST00000374003/ENST00000374004/ENST00000374005,529,1.0,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSGGOG00000000775,ENSGGOT00000000779,529,,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSMMUG00000014434,ENSMMUT00000020255/ENSMMUT00000089545/ENSMMUT00000106201,529,,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSBTAG00000011784,ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914,527,,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSSSCG00000003578,ENSSSCT00000042490,527,,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSDARG00000004378,ENSDART00000136695/ENSDART00000188236,525,,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSXETG00000008925,ENSXETT00000013813,519,,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSMUSG00000028874,ENSMUST00000030693/ENSMUST00000171223,517,1.0,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
ENSRNOG00000009912,ENSRNOT00000013778/ENSRNOT00000085674,517,,start/1_1/1_2/13_0/13_1/13_2/13_3/14_0/11_0/8_0/8_1/6_1/4_0/16_1/7_0/9_0/2_0/stop,100.0,60.0,0.8533333333333333,1700.0,1508.0,16.063333333333333,100.0,88.70588235294117,0.9449019607843137,10
