GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSBTAG00000000219,ENSBTAT00000000263,1497,,start/3_0/3_1/2_0/12_0/6_0/6_1/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,87.5,72.72727272727273,0.8125,1437.5,1372.7272727272727,14.0,89.84375,85.79545454545455,0.875,7
ENSG00000273079,ENST00000609686,1484,1.0,start/3_0/3_1/2_0/12_0/6_0/6_1/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,87.5,72.72727272727273,0.8125,1437.5,1372.7272727272727,14.0,89.84375,85.79545454545455,0.875,7
ENSGGOG00000009965,ENSGGOT00000010012,1484,,start/3_0/3_1/2_0/12_0/6_0/6_1/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,87.5,72.72727272727273,0.8125,1437.5,1372.7272727272727,14.0,89.84375,85.79545454545455,0.875,7
ENSMMUG00000019112,ENSMMUT00000026857,1484,,start/3_0/3_1/2_0/12_0/6_0/6_1/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,87.5,72.72727272727273,0.8125,1437.5,1372.7272727272727,14.0,89.84375,85.79545454545455,0.875,7
ENSSSCG00000000614,ENSSSCT00000061900,1484,,start/3_0/3_1/2_0/12_0/6_0/6_1/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,87.5,72.72727272727273,0.8125,1437.5,1372.7272727272727,14.0,89.84375,85.79545454545455,0.875,7
ENSRNOG00000008766,ENSRNOT00000011697,1482,,start/3_0/3_1/2_0/12_0/6_0/6_1/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,87.5,72.72727272727273,0.8125,1437.5,1372.7272727272727,14.0,89.84375,85.79545454545455,0.875,7
ENSXETG00000010806,ENSXETT00000022319,1449,,start/3_0/3_1/2_0/12_0/6_0/6_1/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,87.5,72.72727272727273,0.8125,1437.5,1372.7272727272727,14.0,89.84375,85.79545454545455,0.875,7
ENSMUSG00000030209,ENSMUST00000152012,337,1.0,start/3_0/3_1/2_0/0_1/stop,12.5,9.090909090909092,0.125,325.0,263.6363636363636,3.0625,65.0,52.72727272727273,0.6125,1
ENSXETG00000010806,ENSXETT00000035639,1444,,start/13_0/3_1/2_0/12_0/6_0/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,12.5,18.181818181818183,0.0625,1100.0,1136.363636363636,10.75,73.33333333333333,75.75757575757574,0.7166666666666667,1
ENSXETG00000010806,ENSXETT00000022357,1439,,start/0_2/3_1/2_0/12_0/6_0/6_1/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/1_1/stop,12.5,9.090909090909092,0.03125,1262.5,1245.4545454545453,12.25,78.90625,77.8409090909091,0.765625,1
ENSXETG00000010806,ENSXETT00000022296,1259,,start/13_0/3_1/2_0/12_0/6_0/8_0/10_0/11_0/5_0/9_0/7_0/4_0/1_0/14_0/stop,12.5,9.090909090909092,0.03125,950.0,990.9090909090908,9.125,63.333333333333336,66.06060606060605,0.6083333333333333,1
