GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSG00000129250,ENST00000320785,1103,1.0,start/15_0/25_0/25_1/25_2/9_0/16_0/10_0/13_0/24_0/27_0/26_0/23_0/4_0/4_1/4_2/5_0/3_5/22_2/22_3/12_0/17_0/18_0/8_0/14_0/14_1/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,50.0,44.0,0.43809523809523804,3240.0,3028.0,29.4452380952381,85.26315789473684,79.6842105263158,0.774874686716792,3
ENSMMUG00000011341,ENSMMUT00000088566/ENSMMUT00000109895,1103,,start/15_0/25_0/25_1/25_2/9_0/16_0/10_0/13_0/24_0/27_0/26_0/23_0/4_0/4_1/4_2/5_0/3_5/22_2/22_3/12_0/17_0/18_0/8_0/14_0/14_1/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,50.0,44.0,0.43809523809523804,3240.0,3028.0,29.4452380952381,85.26315789473684,79.6842105263158,0.774874686716792,3
ENSMUSG00000020821,ENSMUST00000094499,1100,1.0,start/15_0/25_0/25_1/25_2/9_0/16_0/10_0/13_0/24_0/27_0/26_0/23_0/4_0/4_1/4_2/5_0/3_5/22_2/22_3/12_0/17_0/18_0/8_0/14_0/14_1/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,50.0,44.0,0.43809523809523804,3240.0,3028.0,29.4452380952381,85.26315789473684,79.6842105263158,0.774874686716792,3
ENSMODG00000005051,ENSMODT00000006344,592,,start/12_0/17_0/18_0/8_0/14_0/14_1/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,10.0,4.0,0.1,1660.0,1388.0,14.297619047619051,87.36842105263158,73.05263157894737,0.7525062656641603,1
ENSRNOG00000031364,ENSRNOT00000041493,1097,,start/15_0/25_0/25_1/25_2/9_0/16_0/10_0/13_0/24_0/27_0/26_0/23_0/4_0/4_1/4_2/5_0/3_5/22_2/33_0/22_3/12_0/17_0/18_0/8_0/14_0/14_1/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,10.0,4.0,0.1,3180.0,2956.0,28.907142857142865,81.53846153846153,75.7948717948718,0.7412087912087914,1
ENSBTAG00000001349,ENSBTAT00000081136,1102,,start/15_0/15_1/25_0/25_1/25_2/9_0/16_0/10_0/13_0/24_0/27_0/26_0/23_0/4_0/4_1/4_2/4_3/5_0/3_5/3_6/22_2/22_3/12_0/17_0/18_0/8_0/14_0/14_1/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,10.0,12.0,0.1,3270.0,2992.0,29.588095238095242,79.7560975609756,72.97560975609755,0.7216608594657374,1
ENSSSCG00000017900,ENSSSCT00000019480,1101,,start/15_0/15_1/25_0/25_1/25_2/9_0/16_0/10_0/13_0/24_0/27_0/26_0/23_0/4_0/4_1/4_2/4_3/0_1/5_0/3_5/3_6/22_2/22_3/12_0/17_0/18_0/8_0/14_0/14_1/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,10.0,4.0,0.1,3280.0,2988.0,29.688095238095244,78.0952380952381,71.14285714285714,0.706859410430839,1
ENSOANG00000002114,ENSOANT00000003355,682,,start/15_0/15_1/7_0/16_0/10_0/13_0/24_0/27_0/26_0/6_0/5_0/3_5/3_6/22_2/22_3/12_0/18_0/8_0/14_0/14_1/30_0/stop,10.0,4.0,0.1,1290.0,1148.0,12.066666666666666,58.63636363636363,52.18181818181818,0.5484848484848485,1
ENSGGOG00000009210,ENSGGOT00000009255,1103,,start/15_0/25_0/25_1/25_2/9_0/16_0/10_0/13_0/24_0/27_0/26_0/23_0/4_0/4_1/4_2/5_0/3_5/22_0/22_2/22_3/12_0/17_0/18_0/8_0/14_0/14_1/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,10.0,4.0,0.03333333333333333,3210.0,2984.0,29.073809523809533,82.3076923076923,76.51282051282051,0.7454822954822956,1
ENSMUSG00000020821,ENSMUST00000072187,1112,1.0,start/15_0/25_0/25_1/25_2/9_0/16_0/10_0/13_0/24_0/27_0/26_0/23_0/4_0/4_1/4_2/5_0/3_5/22_2/22_3/12_0/17_0/18_0/8_0/14_0/14_1/14_2/2_1/2_2/2_3/1_0/1_1/1_2/1_3/1_4/1_5/1_6/1_7/1_8/stop,10.0,4.0,0.03333333333333333,3170.0,2964.0,28.773809523809533,81.28205128205128,76.0,0.7377899877899878,1
