GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSG00000197959,ENST00000367731,859,1.0,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,70.0,30.0,0.3185714285714286,2260.0,2020.0,18.982499999999998,90.4,80.8,0.7593000000000001,2
ENSMMUG00000007273,ENSMMUT00000093293,859,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,70.0,30.0,0.3185714285714286,2260.0,2020.0,18.982499999999998,90.4,80.8,0.7593000000000001,2
ENSBTAG00000014319,ENSBTAT00000077619,869,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/27_0/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,70.0,30.0,0.3185714285714286,2330.0,2062.5,19.50309523809523,89.61538461538461,79.32692307692308,0.7501190476190476,3
ENSGGOG00000008692,ENSGGOT00000008734,869,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/27_0/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,70.0,30.0,0.3185714285714286,2330.0,2062.5,19.50309523809523,89.61538461538461,79.32692307692308,0.7501190476190476,3
ENSMMUG00000007273,ENSMMUT00000078670,869,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/27_0/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,70.0,30.0,0.3185714285714286,2330.0,2062.5,19.50309523809523,89.61538461538461,79.32692307692308,0.7501190476190476,3
ENSG00000197959,ENST00000627582,863,1.0,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/14_0/14_1/15_0/9_0/29_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,40.0,10.0,0.08011904761904762,2240.0,1965.0,18.38285714285714,86.15384615384616,75.57692307692308,0.7070329670329669,4
ENSGGOG00000008692,ENSGGOT00000066471,863,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/14_0/14_1/15_0/9_0/29_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,40.0,10.0,0.08011904761904762,2240.0,1965.0,18.38285714285714,86.15384615384616,75.57692307692308,0.7070329670329669,4
ENSMMUG00000007273,ENSMMUT00000010160,863,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/14_0/14_1/15_0/9_0/29_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,40.0,10.0,0.08011904761904762,2240.0,1965.0,18.38285714285714,86.15384615384616,75.57692307692308,0.7070329670329669,4
ENSSSCG00000038958,ENSSSCT00000054411,863,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/14_0/14_1/15_0/9_0/29_0/6_0/3_0/2_0/2_1/2_2/2_3/22_1/stop,40.0,10.0,0.08011904761904762,2240.0,1965.0,18.38285714285714,86.15384615384616,75.57692307692308,0.7070329670329669,4
ENSMMUG00000007273,ENSMMUT00000044615,848,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/22_2/stop,40.0,12.5,0.07535714285714286,2190.0,1982.5,18.447857142857142,87.6,79.3,0.7379142857142856,1
ENSBTAG00000014319,ENSBTAT00000076444,858,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/27_0/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/22_2/stop,40.0,12.5,0.07535714285714286,2260.0,2025.0,18.968452380952375,86.92307692307692,77.88461538461539,0.7295558608058609,2
ENSSSCG00000038958,ENSSSCT00000051797,858,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/27_0/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/22_2/stop,40.0,12.5,0.07535714285714286,2260.0,2025.0,18.968452380952375,86.92307692307692,77.88461538461539,0.7295558608058609,2
ENSSSCG00000038958,ENSSSCT00000070464,848,,start/8_0/21_0/5_0/4_0/17_0/7_0/10_0/12_0/23_0/11_0/20_0/19_0/13_1/14_0/14_1/15_0/9_0/6_0/3_0/2_0/2_1/2_2/2_3/26_0/stop,30.0,10.0,0.05535714285714286,2180.0,1977.5,18.443571428571428,87.2,79.1,0.7377428571428571,1
