GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSDARG00000043010,ENSDART00000056466,491,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/21_0/4_1/2_1/2_2/7_0/1_0/1_1/stop,50.0,27.27272727272727,0.31875,2100.0,1690.9090909090905,17.2875,95.45454545454545,76.8595041322314,0.7857954545454546,1
ENSDARG00000043010,ENSDART00000142259,476,,start/15_0/9_0/17_0/18_0/14_0/11_1/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/4_1/2_1/2_2/7_0/1_0/1_1/stop,50.0,27.27272727272727,0.2875,2000.0,1572.7272727272725,16.11875,95.23809523809524,74.89177489177489,0.7675595238095237,1
ENSDARG00000043010,ENSDART00000166198,491,,start/15_0/9_0/17_0/18_0/14_0/11_1/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/21_0/4_1/2_1/2_2/7_0/1_0/1_1/stop,50.0,27.27272727272727,0.2875,2100.0,1613.6363636363635,16.59375,95.45454545454545,73.34710743801651,0.7542613636363636,1
ENSGGOG00000022729,ENSGGOT00000026985,499,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/4_1/4_2/2_1/2_2/7_0/1_0/1_1/13_0/stop,50.0,18.181818181818183,0.2,2150.0,1722.7272727272725,17.5875,93.47826086956522,74.90118577075098,0.7646739130434782,1
ENSG00000145349,ENST00000511664,533,2.0,start/15_0/9_0/17_0/18_0/14_0/11_1/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/16_0/21_0/4_1/4_2/2_1/2_2/7_0/1_0/1_1/13_0/stop,50.0,18.181818181818183,0.1625,2300.0,1695.4545454545457,17.374999999999996,92.0,67.81818181818181,0.6949999999999998,2
ENSGGOG00000022729,ENSGGOT00000033104,533,,start/15_0/9_0/17_0/18_0/14_0/11_1/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/16_0/21_0/4_1/4_2/2_1/2_2/7_0/1_0/1_1/13_0/stop,50.0,18.181818181818183,0.1625,2300.0,1695.4545454545457,17.374999999999996,92.0,67.81818181818181,0.6949999999999998,2
ENSGGOG00000022729,ENSGGOT00000058329,510,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/23_0/4_1/4_2/2_1/2_2/7_0/1_0/1_1/13_0/stop,50.0,9.090909090909092,0.1,2150.0,1709.0909090909088,17.4625,89.58333333333333,71.2121212121212,0.7276041666666666,1
ENSG00000145349,ENST00000379773,478,1.0,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/4_1/4_2/2_1/2_2/7_0/1_0/1_1/0_1/stop,25.0,13.636363636363635,0.15,2075.0,1704.5454545454545,17.424999999999997,90.21739130434783,74.1106719367589,0.7576086956521738,1
ENSG00000145349,ENST00000394522,492,1.0,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/21_0/4_1/4_2/2_1/2_2/7_0/1_0/1_1/0_1/stop,25.0,13.636363636363635,0.15,2175.0,1745.4545454545455,17.9,90.625,72.72727272727273,0.7458333333333332,1
ENSG00000145349,ENST00000508738,489,1.0,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/23_0/4_1/4_2/2_1/2_2/7_0/1_0/1_1/0_1/stop,25.0,9.090909090909092,0.1,2075.0,1690.9090909090908,17.299999999999997,86.45833333333333,70.45454545454545,0.7208333333333333,1
ENSSSCG00000009123,ENSSSCT00000074642,491,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_0/22_1/21_0/4_1/2_1/24_0/7_0/1_0/1_1/stop,25.0,13.636363636363635,0.09375,1900.0,1540.9090909090908,15.31875,82.6086956521739,66.99604743083005,0.6660326086956522,1
ENSSSCG00000009123,ENSSSCT00000009990,497,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/4_1/2_1/24_0/7_0/1_0/13_0/stop,25.0,9.090909090909092,0.0625,1800.0,1449.9999999999998,14.45,85.71428571428571,69.04761904761905,0.6880952380952381,1
ENSDARG00000043010,ENSDART00000136175,289,,start/8_1/3_0/6_0/20_0/22_1/21_0/4_1/2_1/2_2/7_0/1_0/1_1/stop,25.0,4.545454545454546,0.0625,1125.0,813.6363636363637,8.675,86.53846153846153,62.587412587412594,0.6673076923076924,1
ENSSSCG00000009123,ENSSSCT00000073383,511,,start/15_0/9_0/17_0/18_0/14_0/11_1/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_0/22_1/16_0/21_0/4_1/24_0/2_1/7_0/1_0/1_1/stop,25.0,9.090909090909092,0.0625,1925.0,1440.9090909090908,14.287499999999998,80.20833333333333,60.03787878787879,0.5953125,1
ENSSSCG00000009123,ENSSSCT00000078069,532,,start/15_0/9_0/17_0/18_0/14_0/11_1/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_0/22_1/16_0/21_0/4_1/24_0/2_1/7_0/1_0/13_0/stop,25.0,9.090909090909092,0.0625,1875.0,1359.090909090909,13.362499999999997,78.125,56.628787878787875,0.5567708333333333,1
ENSG00000145349,ENST00000394524,478,2.0,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/4_1/4_2/2_1/2_2/7_0/1_0/1_1/0_2/stop,25.0,4.545454545454546,0.05,2075.0,1686.363636363636,17.225,90.21739130434783,73.3201581027668,0.7489130434782609,1
ENSGGOG00000022729,ENSGGOT00000052788,478,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/4_1/4_2/2_1/2_2/7_0/1_0/1_1/0_3/stop,25.0,4.545454545454546,0.05,2075.0,1686.363636363636,17.225,90.21739130434783,73.3201581027668,0.7489130434782609,1
ENSGGOG00000022729,ENSGGOT00000052903,492,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_1/21_0/4_1/4_2/2_1/2_2/7_0/1_0/1_1/0_4/stop,25.0,4.545454545454546,0.05,2175.0,1727.272727272727,17.700000000000003,90.625,71.96969696969697,0.7374999999999999,1
ENSSSCG00000009123,ENSSSCT00000070379,458,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/6_1/6_2/2_0/2_1/2_2/7_0/1_0/1_1/stop,25.0,4.545454545454546,0.03125,1750.0,1459.0909090909086,14.64375,83.33333333333333,69.48051948051948,0.6973214285714286,1
ENSSSCG00000009123,ENSSSCT00000087473,490,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/6_1/4_0/4_1/4_2/2_0/2_1/2_2/7_0/1_0/1_1/stop,25.0,4.545454545454546,0.03125,1850.0,1513.636363636363,15.20625,80.43478260869566,65.81027667984188,0.6611413043478261,1
ENSSSCG00000009123,ENSSSCT00000049835,477,,start/15_0/9_0/17_0/18_0/14_0/11_0/5_0/10_0/8_0/8_1/3_0/6_0/20_0/22_0/22_1/4_1/2_1/24_0/7_0/1_0/0_5/stop,25.0,4.545454545454546,0.03125,1700.0,1390.9090909090908,13.65625,77.27272727272727,63.223140495867774,0.6207386363636364,1
ENSSSCG00000009123,ENSSSCT00000088894,178,,start/15_0/9_0/17_0/18_0/14_0/11_0/12_0/19_0/0_6/stop,25.0,4.545454545454546,0.03125,700.0,563.6363636363634,5.4625,70.0,56.36363636363635,0.54625,1
