GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSMUSG00000027273,ENSMUST00000028727,206,1.0,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSG00000132639,ENST00000254976,206,1.0,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSBTAG00000008323,ENSBTAT00000010961,206,,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSGGOG00000012265,ENSGGOT00000012308,206,,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSMMUG00000011064,ENSMMUT00000015467/ENSMMUT00000065548/ENSMMUT00000085469/ENSMMUT00000085731/ENSMMUT00000087428/ENSMMUT00000097476/ENSMMUT00000100536/ENSMMUT00000103515,206,,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSMODG00000004799,ENSMODT00000006033,206,,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSOANG00000008422,ENSOANT00000013387,206,,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSSSCG00000026985,ENSSSCT00000061808,206,,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSXETG00000001302,ENSXETT00000010253,206,,start/6_0/7_0/7_1/7_2/7_3/7_4/5_1/4_0/3_0/9_0/stop,81.81818181818183,42.30769230769231,0.4772727272727273,1027.2727272727273,846.1538461538462,8.704545454545455,93.38842975206612,76.92307692307692,0.7913223140495866,9
ENSMUSG00000027273,ENSMUST00000110098,206,3.0,start/6_0/7_0/7_1/7_2/7_3/7_4/5_0/4_0/3_0/9_0/stop,63.63636363636363,38.46153846153847,0.3409090909090909,981.8181818181818,834.6153846153846,8.401515151515152,89.25619834710743,75.87412587412588,0.7637741046831956,6
