GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSDARG00000016260,ENSDART00000027718,676,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSRNOG00000011876,ENSRNOT00000016163,675,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSMUSG00000018765,ENSMUST00000018909,674,1.0,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSG00000129245,ENST00000250113,673,1.0,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSBTAG00000005462,ENSBTAT00000075605,673,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSGGOG00000024357,ENSGGOT00000022902,673,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSMMUG00000013510,ENSMMUT00000107473,673,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSMODG00000007179,ENSMODT00000009079,668,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSSSCG00000017953,ENSSSCT00000019537,667,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,100.0,68.75,0.7962962962962963,1900.0,1625.0,17.333333333333336,100.0,85.52631578947368,0.9122807017543859,9
ENSBTAG00000005462,ENSBTAT00000007185,643,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/0_1/stop,11.11111111111111,6.25,0.05555555555555555,1722.2222222222222,1500.0,15.851851851851853,90.64327485380117,78.94736842105263,0.8343079922027289,1
ENSMMUG00000013510,ENSMMUT00000018971,607,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/5_0/14_0/13_0/12_0/stop,11.11111111111111,6.25,0.037037037037037035,1711.111111111111,1456.25,15.518518518518519,95.06172839506172,80.90277777777777,0.8621399176954732,1
ENSMMUG00000013510,ENSMMUT00000082458,678,,start/1_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/12_0/stop,11.11111111111111,6.25,0.037037037037037035,1622.2222222222222,1412.5,14.85185185185185,90.12345679012346,78.47222222222223,0.8251028806584362,1
ENSDARG00000016260,ENSDART00000143341,583,,start/20_0/22_0/1_1/21_0/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/23_0/stop,11.11111111111111,6.25,0.037037037037037035,1522.2222222222222,1325.0,13.962962962962964,89.54248366013071,77.94117647058823,0.821350762527233,1
ENSSSCG00000017953,ENSSSCT00000038801,620,,start/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/3_0/3_1/stop,11.11111111111111,6.25,0.037037037037037035,1244.4444444444443,1137.5,11.629629629629626,77.77777777777777,71.09375,0.7268518518518519,1
ENSSSCG00000017953,ENSSSCT00000061375,599,,start/21_1/10_0/15_0/11_0/7_0/19_0/9_0/17_0/2_0/6_0/5_0/14_0/13_0/3_0/18_0/stop,11.11111111111111,6.25,0.037037037037037035,1244.4444444444443,1137.5,11.629629629629626,77.77777777777777,71.09375,0.7268518518518519,1
ENSDARG00000016260,ENSDART00000173609,160,,start/8_0/4_0/16_0/24_0/stop,11.11111111111111,6.25,0.037037037037037035,55.55555555555556,31.25,0.18518518518518517,11.11111111111111,6.25,0.037037037037037035,1
