GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSDARG00000053617,ENSDART00000039571,478,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_2/5_1/3_0/3_1/3_2/stop,20.0,5.0,0.15,2280.0,1872.5,18.921904761904763,91.2,74.9,0.7568761904761905,1
ENSSSCG00000014443,ENSSSCT00000027746,478,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_2/5_1/3_0/3_1/3_2/0_15/stop,10.0,7.5,0.1,2280.0,1882.5,18.971904761904767,87.6923076923077,72.40384615384616,0.7296886446886449,1
ENSSSCG00000014443,ENSSSCT00000015790,489,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_15/stop,10.0,7.5,0.1,2320.0,1912.5,19.01714285714286,85.92592592592592,70.83333333333333,0.7043386243386244,1
ENSOANG00000002299,ENSOANT00000003647,492,,start/18_0/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_1/10_2/5_0/5_1/3_0/3_1/0_10/stop,10.0,2.5,0.1,2060.0,1587.5,17.139047619047627,76.29629629629629,58.7962962962963,0.6347795414462083,1
ENSMMUG00000011563,ENSMMUT00000016193,489,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_7/stop,10.0,10.0,0.08,2320.0,1917.5,18.977142857142855,85.92592592592592,71.01851851851852,0.7028571428571426,1
ENSGGOG00000000108,ENSGGOT00000000110,478,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_2/5_1/3_0/3_1/3_2/0_5/stop,10.0,5.0,0.06666666666666667,2280.0,1877.5,18.905238095238097,87.6923076923077,72.21153846153847,0.7271245421245423,1
ENSGGOG00000000108,ENSGGOT00000043466,489,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_5/stop,10.0,5.0,0.06666666666666667,2320.0,1907.5,18.95047619047619,85.92592592592592,70.64814814814815,0.701869488536155,1
ENSMUSG00000024617,ENSMUST00000102888,478,1.0,start/22_1/11_0/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_1/10_2/5_0/5_1/3_0/3_1/0_9/stop,10.0,5.0,0.06666666666666667,2180.0,1680.0,17.909047619047623,77.85714285714286,60.0,0.639608843537415,1
ENSSSCG00000014443,ENSSSCT00000052397,200,,start/15_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_15/stop,10.0,5.0,0.06666666666666667,720.0,557.5,5.492380952380952,60.0,46.458333333333336,0.45769841269841266,1
ENSMUSG00000024617,ENSMUST00000115295,200,1.0,start/15_0/15_1/15_2/31_0/6_3/10_1/10_2/5_0/5_1/3_0/3_1/0_9/stop,10.0,5.0,0.06666666666666667,640.0,395.0,4.622857142857143,49.23076923076923,30.384615384615383,0.3556043956043956,1
ENSMMUG00000011563,ENSMMUT00000040833,611,,start/2_0/8_0/20_0/33_0/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_2/5_1/3_0/3_1/3_2/0_7/stop,10.0,7.5,0.06,1970.0,1640.0,16.388571428571428,72.96296296296296,60.74074074074074,0.6069841269841268,1
ENSMMUG00000011563,ENSMMUT00000090496,622,,start/2_0/8_0/20_0/33_0/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_7/stop,10.0,7.5,0.06,2010.0,1670.0,16.433809523809526,71.78571428571429,59.642857142857146,0.5869217687074829,1
ENSG00000070808,ENST00000348628/ENST00000672479,478,1.0,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_2/5_1/3_0/3_1/3_2/0_3/stop,10.0,10.0,0.05714285714285714,2280.0,1887.5,18.886190476190478,87.6923076923077,72.59615384615384,0.7263919413919415,1
ENSG00000070808,ENST00000671881,489,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_3/stop,10.0,10.0,0.05714285714285714,2320.0,1917.5,18.931428571428572,85.92592592592592,71.01851851851852,0.7011640211640211,1
ENSRNOG00000018712,ENSRNOT00000080177,475,,start/22_1/11_0/11_1/11_2/25_0/27_0/27_1/26_0/24_0/30_0/37_0/37_1/17_0/17_1/0_14/21_0/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_1/10_2/5_0/5_1/3_0/3_1/3_2/stop,10.0,2.5,0.05,2150.0,1610.0,17.545714285714286,65.15151515151516,48.78787878787879,0.5316883116883117,1
ENSRNOG00000018712,ENSRNOT00000041533,475,,start/22_1/11_0/11_1/11_2/25_0/27_0/27_1/26_0/24_0/30_0/37_0/0_11/17_0/0_12/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_1/10_2/5_0/5_1/3_0/3_1/0_13/stop,10.0,2.5,0.05,1960.0,1440.0,15.900000000000006,63.225806451612904,46.45161290322581,0.5129032258064518,1
ENSBTAG00000020087,ENSBTAT00000026762,478,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_2/5_1/3_0/3_1/3_2/0_1/stop,10.0,5.0,0.04,2280.0,1877.5,18.851904761904763,87.6923076923077,72.21153846153847,0.7250732600732601,1
ENSBTAG00000020087,ENSBTAT00000073084,489,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_1/stop,10.0,5.0,0.04,2320.0,1907.5,18.897142857142857,85.92592592592592,70.64814814814815,0.6998941798941798,1
ENSGGOG00000000108,ENSGGOT00000044673,473,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/14_1/15_1/15_2/15_3/10_2/5_1/3_0/3_1/3_2/0_6/stop,10.0,2.5,0.03333333333333333,1980.0,1670.0,16.519047619047623,76.15384615384616,64.23076923076923,0.6353479853479855,1
ENSMUSG00000024617,ENSMUST00000115297,108,2.0,start/22_1/11_0/11_1/11_2/7_0/stop,10.0,2.5,0.03333333333333333,260.0,180.0,1.936666666666667,43.333333333333336,30.0,0.32277777777777783,1
ENSXETG00000004963,ENSXETT00000010909,489,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_17/stop,10.0,7.5,0.03,2320.0,1912.5,18.87714285714286,85.92592592592592,70.83333333333333,0.6991534391534392,1
ENSG00000070808,ENST00000672752,478,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/10_2/5_1/3_0/3_1/3_2/0_4/stop,10.0,5.0,0.02857142857142857,2280.0,1877.5,18.82904761904762,87.6923076923077,72.21153846153847,0.7241941391941393,1
ENSG00000070808,ENST00000672829,489,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/31_0/6_3/10_2/5_1/3_0/3_1/3_2/0_4/stop,10.0,5.0,0.02857142857142857,2320.0,1907.5,18.874285714285715,85.92592592592592,70.64814814814815,0.6990476190476189,1
ENSXETG00000004963,ENSXETT00000010975,505,,start/22_1/11_1/11_2/25_0/27_0/27_1/26_0/24_0/17_0/17_1/21_1/21_2/19_0/13_0/14_0/28_0/15_1/15_2/6_3/23_0/10_2/5_1/3_0/3_1/3_2/0_17/stop,10.0,5.0,0.02,2230.0,1835.0,18.329523809523813,82.5925925925926,67.96296296296296,0.6788712522045856,1
