GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSMUSG00000021396,ENSMUST00000021828,156,1.0,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSBTAG00000019958,ENSBTAT00000031535/ENSBTAT00000072721,156,,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSDARG00000003934,ENSDART00000016103,156,,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSGGOG00000027419,ENSGGOT00000025486,156,,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSMMUG00000008414,ENSMMUT00000011764,156,,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSMODG00000013386,ENSMODT00000017046,156,,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSRNOG00000014538,ENSRNOT00000019489,156,,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSSSCG00000035269,ENSSSCT00000050066,156,,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSXETG00000019220,ENSXETT00000052949,156,,start/1_0/3_0/stop,90.0,75.0,0.8,280.0,250.0,2.6,93.33333333333333,83.33333333333333,0.8666666666666667,9
ENSG00000130045,ENST00000375855,135,1.0,start/1_0/4_0/stop,20.0,16.666666666666664,0.15,140.0,133.33333333333331,1.2999999999999998,46.666666666666664,44.444444444444436,0.4333333333333333,2
ENSGGOG00000027419,ENSGGOT00000053860,135,,start/1_0/4_0/stop,20.0,16.666666666666664,0.15,140.0,133.33333333333331,1.2999999999999998,46.666666666666664,44.444444444444436,0.4333333333333333,2
ENSMMUG00000008414,ENSMMUT00000008032,191,,start/1_0/2_0/stop,10.0,8.333333333333332,0.05,120.0,116.66666666666666,1.1,40.0,38.888888888888886,0.3666666666666667,1
