GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSMUSG00000021820,ENSMUST00000080440,518,1.0,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/30_0/6_3/4_1/24_1/10_1/7_1/7_2/2_1/stop,40.0,22.22222222222222,0.2594444444444444,2040.0,1884.126984126984,17.640555555555558,85.0,78.505291005291,0.7350231481481483,1
ENSG00000148660,ENST00000394762,539,1.0,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/6_3/4_1/24_1/10_1/7_1/7_2/2_1/stop,40.0,22.22222222222222,0.2594444444444444,2140.0,1941.269841269841,18.233888888888888,82.3076923076923,74.66422466422468,0.7013034188034187,1
ENSMUSG00000021820,ENSMUST00000071816,529,1.0,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/30_0/34_0/6_3/4_1/24_1/10_1/7_1/7_2/2_1/stop,40.0,19.047619047619047,0.20555555555555557,2110.0,1898.4126984126985,17.891111111111112,84.4,75.93650793650794,0.7156444444444446,1
ENSBTAG00000012667,ENSBTAT00000071649,577,,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/6_3/4_1/24_1/11_0/10_1/7_1/7_2/2_1/stop,40.0,22.22222222222222,0.15611111111111112,2220.0,1980.9523809523807,18.45777777777778,82.22222222222223,73.36860670194004,0.6836213991769547,1
ENSMODG00000000536,ENSMODT00000056650,587,,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/34_0/6_3/4_1/24_1/11_0/10_1/7_1/7_2/2_1/stop,40.0,19.047619047619047,0.15611111111111112,2290.0,1995.2380952380952,18.708333333333332,81.78571428571429,71.25850340136054,0.6681547619047619,1
ENSG00000148660,ENST00000322635,527,1.0,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/34_0/4_1/24_1/10_1/7_1/7_2/2_1/stop,40.0,7.936507936507936,0.12555555555555556,2100.0,1895.2380952380952,17.92388888888889,80.76923076923077,72.89377289377289,0.6893803418803419,2
ENSMODG00000000536,ENSMODT00000055226,527,,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/34_0/4_1/24_1/10_1/7_1/7_2/2_1/stop,40.0,7.936507936507936,0.12555555555555556,2100.0,1895.2380952380952,17.92388888888889,80.76923076923077,72.89377289377289,0.6893803418803419,2
ENSRNOG00000009783,ENSRNOT00000066163,527,,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/34_0/4_1/24_1/10_0/10_1/7_1/2_1/stop,40.0,7.936507936507936,0.12555555555555556,2090.0,1858.7301587301586,17.577777777777783,80.38461538461539,71.4896214896215,0.6760683760683762,1
ENSMUSG00000021820,ENSMUST00000100837,495,1.0,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/30_0/4_1/24_1/10_1/7_1/7_2/2_1/stop,40.0,14.285714285714285,0.11833333333333336,1940.0,1815.873015873016,16.98111111111111,84.34782608695652,78.95100069013112,0.7383091787439614,1
ENSMODG00000000536,ENSMODT00000062694,516,,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/4_1/24_1/10_1/7_1/7_2/2_1/stop,40.0,14.285714285714285,0.11833333333333336,2040.0,1873.0158730158728,17.574444444444445,81.6,74.92063492063492,0.7029777777777778,1
ENSMMUG00000021393,ENSMMUT00000030116,554,,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/4_1/24_1/11_0/10_0/10_1/7_1/2_1/stop,30.0,12.698412698412698,0.11833333333333336,2100.0,1874.6031746031745,17.518888888888892,80.76923076923077,72.1001221001221,0.6738034188034191,1
ENSSSCG00000010311,ENSSSCT00000058449,528,,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/17_0/8_0/8_1/13_0/33_0/30_0/6_3/4_1/24_1/11_0/10_1/7_1/7_2/2_1/stop,30.0,4.761904761904762,0.03111111111111111,1970.0,1741.2698412698414,16.157777777777778,82.08333333333333,72.55291005291005,0.6732407407407409,1
ENSMMUG00000021393,ENSMMUT00000030118,549,,start/1_1/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/6_3/4_1/24_1/11_0/10_0/10_1/7_1/2_1/stop,30.0,4.761904761904762,0.03111111111111111,2050.0,1760.3174603174602,16.471666666666668,78.84615384615384,67.70451770451771,0.633525641025641,1
ENSBTAG00000012667,ENSBTAT00000080860,526,,start/3_2/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/30_0/6_3/4_1/24_1/10_1/7_1/7_2/2_1/stop,20.0,9.523809523809524,0.1,1930.0,1774.6031746031745,16.71166666666667,80.41666666666667,73.94179894179894,0.6963194444444444,1
ENSBTAG00000012667,ENSBTAT00000078262,564,,start/3_2/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/30_0/6_3/4_1/24_1/11_0/10_1/7_1/7_2/2_1/stop,20.0,9.523809523809524,0.1,2010.0,1814.2857142857142,16.935555555555556,80.4,72.57142857142857,0.6774222222222224,1
ENSBTAG00000012667,ENSBTAT00000075797,562,,start/3_2/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/4_1/24_1/11_0/10_1/7_1/7_2/2_1/stop,20.0,9.523809523809524,0.1,2010.0,1803.174603174603,16.869444444444447,77.3076923076923,69.35286935286936,0.6488247863247865,1
ENSBTAG00000012667,ENSBTAT00000071596,596,,start/3_2/3_3/3_4/25_0/25_1/29_0/27_0/21_0/12_1/20_0/17_0/8_0/8_1/13_0/33_0/19_1/19_2/30_0/34_0/6_3/4_1/24_1/11_0/10_1/7_1/7_2/2_1/stop,20.0,9.523809523809524,0.1,2180.0,1885.7142857142856,17.779444444444447,77.85714285714286,67.3469387755102,0.6349801587301588,1
