GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSG00000007372,ENST00000241001/ENST00000379109/ENST00000639916/ENST00000640610/ENST00000643871,422,1.0,start/18_0/10_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,30.0,29.629629629629626,0.2333333333333333,1020.0,918.5185185185187,8.850000000000001,78.46153846153847,70.65527065527067,0.6807692307692309,3
ENSBTAG00000004561,ENSBTAT00000005994,422,,start/18_0/10_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,30.0,29.629629629629626,0.2333333333333333,1020.0,918.5185185185187,8.850000000000001,78.46153846153847,70.65527065527067,0.6807692307692309,3
ENSGGOG00000010246,ENSGGOT00000068490,422,,start/18_0/10_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,30.0,29.629629629629626,0.2333333333333333,1020.0,918.5185185185187,8.850000000000001,78.46153846153847,70.65527065527067,0.6807692307692309,3
ENSG00000007372,ENST00000419022/ENST00000638914/ENST00000639409/ENST00000640975,436,1.0,start/18_0/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,30.0,29.629629629629626,0.2333333333333333,1100.0,966.6666666666667,9.316666666666668,78.57142857142857,69.04761904761905,0.6654761904761906,3
ENSBTAG00000004561,ENSBTAT00000080697,436,,start/18_0/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,30.0,29.629629629629626,0.2333333333333333,1100.0,966.6666666666667,9.316666666666668,78.57142857142857,69.04761904761905,0.6654761904761906,3
ENSGGOG00000010246,ENSGGOT00000024041,436,,start/18_0/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,30.0,29.629629629629626,0.2333333333333333,1100.0,966.6666666666667,9.316666666666668,78.57142857142857,69.04761904761905,0.6654761904761906,3
ENSG00000007372,ENST00000638629,286,2.0,start/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,20.0,7.4074074074074066,0.13333333333333333,770.0,692.5925925925927,7.083333333333335,85.55555555555556,76.95473251028807,0.7870370370370371,1
ENSGGOG00000010246,ENSGGOT00000010287,475,,start/18_0/10_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/2_0/stop,20.0,14.814814814814813,0.08333333333333333,770.0,718.5185185185185,6.516666666666667,64.16666666666667,59.87654320987654,0.5430555555555555,1
ENSMODG00000009611,ENSMODT00000035985,221,,start/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,3.7037037037037033,0.1,680.0,611.1111111111112,6.333333333333335,85.0,76.3888888888889,0.7916666666666667,1
ENSDARG00000053364,ENSDART00000151608/ENSDART00000165638,275,,start/6_1/7_0/13_0/8_0/14_0/9_0/12_0/stop,10.0,3.7037037037037033,0.1,520.0,440.7407407407407,4.750000000000001,65.0,55.092592592592595,0.59375,1
ENSOANG00000015149,ENSOANT00000023862,386,,start/15_0/4_0/16_0/11_0/17_0/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,3.7037037037037033,0.1,800.0,666.6666666666667,7.1416666666666675,61.53846153846154,51.282051282051285,0.5493589743589744,1
ENSMMUG00000016810,ENSMMUT00000053490/ENSMMUT00000094381/ENSMMUT00000100738/ENSMMUT00000109614,422,,start/0_1/10_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,11.11111111111111,0.075,980.0,877.7777777777778,8.516666666666667,75.38461538461539,67.52136752136752,0.6551282051282052,1
ENSSSCG00000013320,ENSSSCT00000054342,422,,start/0_5/10_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,11.11111111111111,0.075,980.0,877.7777777777778,8.516666666666667,75.38461538461539,67.52136752136752,0.6551282051282052,1
ENSMMUG00000016810,ENSMMUT00000023620/ENSMMUT00000082888/ENSMMUT00000083109/ENSMMUT00000105098,436,,start/0_1/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,11.11111111111111,0.075,1060.0,925.9259259259261,8.983333333333334,75.71428571428571,66.13756613756615,0.6416666666666667,1
ENSSSCG00000013320,ENSSSCT00000014546,436,,start/0_5/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,11.11111111111111,0.075,1060.0,925.9259259259261,8.983333333333334,75.71428571428571,66.13756613756615,0.6416666666666667,1
ENSMUSG00000027168,ENSMUST00000111082/ENSMUST00000111087,422,1.0,start/0_2/10_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,7.4074074074074066,0.06666666666666667,980.0,874.0740740740741,8.533333333333335,75.38461538461539,67.23646723646723,0.6564102564102565,1
ENSMUSG00000027168,ENSMUST00000090391/ENSMUST00000111086,436,1.0,start/0_2/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,7.4074074074074066,0.06666666666666667,1060.0,922.2222222222224,9.000000000000002,75.71428571428571,65.87301587301589,0.642857142857143,1
ENSRNOG00000004410,ENSRNOT00000005882/ENSRNOT00000006302,422,,start/0_3/10_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,3.7037037037037033,0.05,980.0,862.962962962963,8.466666666666669,75.38461538461539,66.38176638176638,0.6512820512820514,1
ENSRNOG00000004410,ENSRNOT00000089525,433,,start/0_4/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,3.7037037037037033,0.05,1060.0,911.1111111111113,8.933333333333334,75.71428571428571,65.07936507936508,0.6380952380952382,1
ENSSSCG00000013320,ENSSSCT00000087357,420,,start/0_5/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/3_2/stop,10.0,7.4074074074074066,0.05,810.0,711.1111111111111,6.583333333333334,62.30769230769231,54.7008547008547,0.5064102564102565,1
ENSMMUG00000016810,ENSMMUT00000023626,415,,start/0_1/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/3_2/stop,10.0,7.4074074074074066,0.05,810.0,711.1111111111111,6.583333333333334,62.30769230769231,54.7008547008547,0.5064102564102565,1
ENSMUSG00000027168,ENSMUST00000111088,254,1.0,start/0_2/7_0/13_0/8_0/3_0/3_1/2_0/stop,10.0,3.7037037037037033,0.03333333333333333,440.0,422.2222222222223,4.033333333333333,55.0,52.77777777777777,0.5041666666666667,1
ENSMMUG00000016810,ENSMMUT00000107669,598,,start/1_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,3.7037037037037033,0.025,910.0,833.3333333333335,8.166666666666668,75.83333333333333,69.44444444444446,0.6805555555555557,1
ENSSSCG00000013320,ENSSSCT00000055747,498,,start/5_0/10_0/15_0/4_0/6_0/6_1/7_0/13_0/8_0/3_0/3_1/9_0/12_0/stop,10.0,3.7037037037037033,0.025,1060.0,911.1111111111113,8.883333333333335,75.71428571428571,65.07936507936508,0.6345238095238096,1
ENSGGOG00000010246,ENSGGOT00000062474,304,,start/18_0/7_0/13_0/8_0/3_0/3_1/2_0/stop,10.0,3.7037037037037033,0.016666666666666666,460.0,444.4444444444445,4.166666666666666,57.5,55.55555555555556,0.5208333333333334,1
ENSGGOG00000010246,ENSGGOT00000054407,306,,start/18_1/7_0/13_0/8_0/3_0/3_1/2_0/stop,10.0,3.7037037037037033,0.016666666666666666,440.0,414.8148148148149,3.9333333333333336,55.0,51.85185185185185,0.4916666666666667,1
ENSGGOG00000010246,ENSGGOT00000057402,147,,start/18_0/10_0/10_1/3_1/9_0/12_0/stop,10.0,3.7037037037037033,0.016666666666666666,370.0,300.0,3.0166666666666666,52.857142857142854,42.857142857142854,0.4309523809523809,1
