GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSG00000176658,ENST00000318217,1006,1.0,start/23_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_1/6_2/22_0/22_1/22_2/20_0/10_0/10_1/11_0/11_1/stop,60.0,43.333333333333336,0.5266666666666666,3230.0,2769.9999999999995,29.53666666666666,95.0,81.47058823529412,0.8687254901960785,3
ENSMMUG00000014689,ENSMMUT00000020595,1006,,start/23_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_1/6_2/22_0/22_1/22_2/20_0/10_0/10_1/11_0/11_1/stop,60.0,43.333333333333336,0.5266666666666666,3230.0,2769.9999999999995,29.53666666666666,95.0,81.47058823529412,0.8687254901960785,3
ENSRNOG00000003276,ENSRNOT00000004609,1006,,start/23_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_1/6_2/22_0/22_1/22_2/20_0/10_0/10_1/11_0/11_1/stop,60.0,43.333333333333336,0.5266666666666666,3230.0,2769.9999999999995,29.53666666666666,95.0,81.47058823529412,0.8687254901960785,3
ENSBTAG00000015527,ENSBTAT00000020634,1006,,start/23_0/2_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_0/6_1/6_2/22_0/22_1/22_2/20_0/10_0/10_1/11_0/11_1/stop,30.0,23.333333333333332,0.3,3260.0,2786.666666666666,29.769999999999992,90.55555555555556,77.40740740740742,0.8269444444444445,3
ENSMODG00000019177,ENSMODT00000074189,1006,,start/23_0/2_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_0/6_1/6_2/22_0/22_1/22_2/20_0/10_0/10_1/11_0/11_1/stop,30.0,23.333333333333332,0.3,3260.0,2786.666666666666,29.769999999999992,90.55555555555556,77.40740740740742,0.8269444444444445,3
ENSSSCG00000017728,ENSSSCT00000048990,1006,,start/23_0/2_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_0/6_1/6_2/22_0/22_1/22_2/20_0/10_0/10_1/11_0/11_1/stop,30.0,23.333333333333332,0.3,3260.0,2786.666666666666,29.769999999999992,90.55555555555556,77.40740740740742,0.8269444444444445,3
ENSBTAG00000015527,ENSBTAT00000077630,988,,start/23_0/2_0/2_2/2_3/24_0/9_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_0/6_1/6_2/22_0/22_1/22_2/20_0/10_0/10_1/11_0/11_1/stop,20.0,6.666666666666667,0.06,3090.0,2643.333333333333,28.059999999999995,88.28571428571429,75.52380952380953,0.8017142857142857,1
ENSG00000176658,ENST00000579584,961,2.0,start/23_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_1/6_2/22_0/22_1/22_2/20_0/10_0/10_1/39_1/stop,20.0,6.666666666666667,0.05333333333333333,3000.0,2649.999999999999,28.05333333333333,90.9090909090909,80.3030303030303,0.8501010101010101,1
ENSG00000176658,ENST00000583621,436,1.0,start/23_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/39_0/stop,20.0,6.666666666666667,0.05333333333333333,1380.0,1203.3333333333335,13.056666666666665,86.25,75.20833333333334,0.8160416666666668,1
ENSMUSG00000035441,ENSMUST00000070997,944,1.0,start/23_0/2_2/2_3/24_0/9_0/21_0/15_0/15_1/15_2/19_0/19_1/4_0/13_0/17_0/7_0/7_1/28_0/27_0/14_0/8_0/3_0/1_0/1_1/6_1/6_2/22_0/22_1/22_2/20_0/16_0/stop,10.0,3.3333333333333335,0.1,2800.0,2473.333333333333,26.529999999999998,90.3225806451613,79.78494623655915,0.8558064516129031,1
