GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSG00000105464,ENST00000263269,1336,1.0,start/3_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/1_0/1_1/1_2/stop,62.5,60.0,0.625,1625.0,1540.0,15.6875,95.58823529411765,90.58823529411765,0.9227941176470589,4
ENSMMUG00000005983,ENSMMUT00000008368,1336,,start/3_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/1_0/1_1/1_2/stop,62.5,60.0,0.625,1625.0,1540.0,15.6875,95.58823529411765,90.58823529411765,0.9227941176470589,4
ENSMUSG00000002771,ENSMUST00000002848,1323,1.0,start/3_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/1_0/1_1/1_2/stop,62.5,60.0,0.625,1625.0,1540.0,15.6875,95.58823529411765,90.58823529411765,0.9227941176470589,4
ENSRNOG00000021063,ENSRNOT00000028615,1323,,start/3_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/1_0/1_1/1_2/stop,62.5,60.0,0.625,1625.0,1540.0,15.6875,95.58823529411765,90.58823529411765,0.9227941176470589,4
ENSSSCG00000003133,ENSSSCT00000003474,1332,,start/3_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/18_0/1_0/1_1/1_2/stop,12.5,10.0,0.125,1587.5,1500.0,15.3125,88.19444444444444,83.33333333333333,0.8506944444444444,1
ENSBTAG00000023369,ENSBTAT00000042550,1333,,start/3_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/1_0/1_1/1_2/16_0/stop,12.5,10.0,0.125,1562.5,1490.0,15.1875,86.80555555555556,82.77777777777777,0.84375,1
ENSGGOG00000013433,ENSGGOT00000022079,1295,,start/21_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/17_0/1_0/1_1/1_2/stop,12.5,10.0,0.125,1437.5,1360.0,13.9375,79.86111111111111,75.55555555555556,0.7743055555555556,1
ENSRNOG00000021063,ENSRNOT00000084869,1357,,start/3_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/1_0/1_1/6_0/stop,12.5,10.0,0.0625,1462.5,1410.0,14.1875,86.02941176470588,82.94117647058823,0.8345588235294118,1
ENSXETG00000003580,ENSXETT00000030408,1274,,start/3_0/3_1/3_2/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/9_0/5_0/19_0/1_0/1_1/1_2/stop,12.5,10.0,0.0625,1612.5,1520.0,15.3125,80.625,76.0,0.765625,1
ENSXETG00000003580,ENSXETT00000014866,880,,start/20_0/3_1/2_0/15_0/8_0/11_0/13_0/14_0/7_0/12_0/10_0/4_0/4_1/stop,12.5,10.0,0.0625,962.5,950.0,9.3125,68.75,67.85714285714286,0.6651785714285714,1
