GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSDARG00000005941,ENSDART00000027090/ENSDART00000178066,546,,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,70.0,52.17391304347826,0.6666666666666667,1410.0,1308.6956521739132,13.293333333333333,94.0,87.2463768115942,0.8862222222222222,2
ENSMUSG00000014932,ENSMUST00000072311/ENSMUST00000168707/ENSMUST00000202543,541,1.0,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,70.0,52.17391304347826,0.6666666666666667,1410.0,1308.6956521739132,13.293333333333333,94.0,87.2463768115942,0.8862222222222222,2
ENSG00000176105,ENST00000314574/ENST00000584307,543,1.0,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/3_2/15_1/6_0/9_0/2_0/2_1/stop,40.0,17.391304347826086,0.33333333333333337,1350.0,1178.2608695652177,12.626666666666665,90.0,78.55072463768117,0.8417777777777776,4
ENSMMUG00000004054,ENSMMUT00000005754,543,,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/3_2/15_1/6_0/9_0/2_0/2_1/stop,40.0,17.391304347826086,0.33333333333333337,1350.0,1178.2608695652177,12.626666666666665,90.0,78.55072463768117,0.8417777777777776,4
ENSBTAG00000001523,ENSBTAT00000001995/ENSBTAT00000070883,541,,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/3_2/15_1/6_0/9_0/2_0/2_1/stop,40.0,17.391304347826086,0.33333333333333337,1350.0,1178.2608695652177,12.626666666666665,90.0,78.55072463768117,0.8417777777777776,4
ENSRNOG00000037227,ENSRNOT00000056250,541,,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/3_2/15_1/6_0/9_0/2_0/2_1/stop,40.0,17.391304347826086,0.33333333333333337,1350.0,1178.2608695652177,12.626666666666665,90.0,78.55072463768117,0.8417777777777776,4
ENSSSCG00000031942,ENSSSCT00000042627,543,,start/1_0/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,8.695652173913043,0.1,1360.0,1278.2608695652175,12.863333333333333,85.0,79.89130434782608,0.8039583333333333,1
ENSOANG00000005265,ENSOANT00000008377,464,,start/10_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.1,1260.0,1204.3478260869565,12.033333333333333,84.0,80.28985507246377,0.8022222222222222,1
ENSGGOG00000000651,ENSGGOT00000000656,548,,start/0_1/1_0/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.05,1370.0,1278.2608695652175,12.863333333333333,80.58823529411765,75.1918158567775,0.7566666666666667,1
ENSSSCG00000031942,ENSSSCT00000074308,555,,start/1_0/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/4_0/stop,10.0,4.3478260869565215,0.05,1180.0,1113.0434782608695,11.196666666666669,73.75,69.56521739130434,0.6997916666666666,1
ENSGGOG00000000651,ENSGGOT00000033367,558,,start/1_1/10_1/12_0/11_0/7_0/5_0/17_0/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.05,1060.0,995.6521739130435,9.903333333333332,70.66666666666667,66.3768115942029,0.6602222222222222,1
ENSRNOG00000037227,ENSRNOT00000056251,489,,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/18_0/stop,10.0,4.3478260869565215,0.03333333333333333,1130.0,1052.1739130434783,10.66,80.71428571428571,75.15527950310558,0.7614285714285715,1
ENSRNOG00000037227,ENSRNOT00000086534,526,,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/19_0/13_0/23_0/stop,10.0,4.3478260869565215,0.03333333333333333,1150.0,1060.8695652173913,10.726666666666667,71.875,66.30434782608695,0.6704166666666667,1
ENSXETG00000019367,ENSXETT00000045328,485,,start/1_1/10_2/12_0/11_0/7_0/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1120.0,1039.1304347826087,10.443333333333333,86.15384615384616,79.93311036789298,0.8033333333333333,1
ENSXETG00000019367,ENSXETT00000045336,464,,start/22_0/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1260.0,1204.3478260869565,11.853333333333333,84.0,80.28985507246377,0.7902222222222223,1
ENSXETG00000019367,ENSXETT00000045427,458,,start/24_0/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1260.0,1204.3478260869565,11.853333333333333,84.0,80.28985507246377,0.7902222222222223,1
ENSXETG00000019367,ENSXETT00000045322,542,,start/1_1/10_2/12_0/11_0/7_0/5_0/5_1/3_0/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1330.0,1230.4347826086957,12.383333333333333,83.125,76.90217391304347,0.7739583333333333,1
ENSXETG00000019367,ENSXETT00000045292,565,,start/1_1/10_2/14_0/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1330.0,1226.0869565217392,12.373333333333333,83.125,76.63043478260869,0.7733333333333332,1
ENSXETG00000019367,ENSXETT00000045420,506,,start/8_0/10_0/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1270.0,1226.0869565217392,11.903333333333332,79.375,76.63043478260869,0.7439583333333333,1
ENSXETG00000019367,ENSXETT00000045467,485,,start/16_0/10_0/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1270.0,1226.0869565217392,11.903333333333332,79.375,76.63043478260869,0.7439583333333333,1
ENSXETG00000019367,ENSXETT00000045474,474,,start/20_0/10_0/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1270.0,1226.0869565217392,11.903333333333332,79.375,76.63043478260869,0.7439583333333333,1
ENSXETG00000019367,ENSXETT00000045442,473,,start/21_0/10_0/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1270.0,1226.0869565217392,11.903333333333332,79.375,76.63043478260869,0.7439583333333333,1
ENSXETG00000019367,ENSXETT00000045434,464,,start/0_2/10_0/10_2/12_0/11_0/7_0/5_0/5_1/3_1/15_0/15_1/6_0/9_0/2_0/2_1/stop,10.0,4.3478260869565215,0.01,1270.0,1226.0869565217392,11.903333333333332,79.375,76.63043478260869,0.7439583333333333,1
