GeneID,TranscriptIDCluster,TranscriptLength,TSL,Path,MinimumConservation,MinimumTranscriptFraction,MinimumTranscriptWeightedConservation,ConservationSum,TranscriptFractionSum,TranscriptWeightedConservationSum,MeanConservation,MeanTranscriptFraction,MeanTranscriptWeightedConservation,PathGeneNumber
ENSMUSG00000018417,ENSMUST00000018561,1136,1.0,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_1/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,88.88888888888889,30.555555555555557,0.3791005291005291,3777.7777777777774,3388.888888888887,33.832804232804236,99.41520467836257,89.18128654970758,0.890336953494848,8
ENSG00000128641,ENST00000304164/ENST00000392318,1136,1.0,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_1/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,88.88888888888889,30.555555555555557,0.3791005291005291,3777.7777777777774,3388.888888888887,33.832804232804236,99.41520467836257,89.18128654970758,0.890336953494848,8
ENSBTAG00000011256,ENSBTAT00000014951/ENSBTAT00000072917,1136,,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_1/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,88.88888888888889,30.555555555555557,0.3791005291005291,3777.7777777777774,3388.888888888887,33.832804232804236,99.41520467836257,89.18128654970758,0.890336953494848,8
ENSGGOG00000002321,ENSGGOT00000053358,1136,,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_1/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,88.88888888888889,30.555555555555557,0.3791005291005291,3777.7777777777774,3388.888888888887,33.832804232804236,99.41520467836257,89.18128654970758,0.890336953494848,8
ENSMMUG00000001761,ENSMMUT00000002496,1136,,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_1/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,88.88888888888889,30.555555555555557,0.3791005291005291,3777.7777777777774,3388.888888888887,33.832804232804236,99.41520467836257,89.18128654970758,0.890336953494848,8
ENSMODG00000011829,ENSMODT00000084734,1136,,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_1/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,88.88888888888889,30.555555555555557,0.3791005291005291,3777.7777777777774,3388.888888888887,33.832804232804236,99.41520467836257,89.18128654970758,0.890336953494848,8
ENSRNOG00000048152,ENSRNOT00000068433,1136,,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_1/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,88.88888888888889,30.555555555555557,0.3791005291005291,3777.7777777777774,3388.888888888887,33.832804232804236,99.41520467836257,89.18128654970758,0.890336953494848,8
ENSSSCG00000016061,ENSSSCT00000054157,1136,,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_1/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,88.88888888888889,30.555555555555557,0.3791005291005291,3777.7777777777774,3388.888888888887,33.832804232804236,99.41520467836257,89.18128654970758,0.890336953494848,8
ENSMUSG00000018417,ENSMUST00000046390,1107,1.0,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,77.77777777777779,19.444444444444446,0.1955026455026455,3677.777777777778,3333.333333333331,33.17645502645503,99.3993993993994,90.09009009009006,0.8966609466609464,7
ENSBTAG00000011256,ENSBTAT00000084166,1107,,start/7_2/7_3/14_0/22_0/19_0/19_1/29_0/27_0/27_1/20_0/20_1/18_0/6_0/13_0/23_0/26_0/17_0/28_0/3_0/1_0/2_0/21_0/5_0/25_0/11_0/11_3/15_1/9_0/9_1/16_0/8_0/8_1/4_0/10_0/12_0/12_1/stop,77.77777777777779,19.444444444444446,0.1955026455026455,3677.777777777778,3333.333333333331,33.17645502645503,99.3993993993994,90.09009009009006,0.8966609466609464,7
